region,2021-08-21,2021-09-21,2021-10-21,2021-11-21,2021-12-21,2022-01-22,2022-02-22,2022-03-22,2022-04-22,2022-05-22,2022-06-22,2022-07-22,2022-08-22
서울 종로구,993400,1000450,1010325,1019263,1020950,1020513,1018100,1016508,1015970,1015670,1014683,1010645,1002308
서울 중구,1062180,1069810,1079570,1088060,1089582,1089782,1089122,1087792,1087422,1086812,1085282,1081042,1071484
서울 용산구,1707042,1722671,1744636,1762294,1769182,1770601,1769930,1766951,1769734,1773818,1774720,1773671,1772168
서울 동북권,857434,863398,868135,871360,872612,872382,871518,870611,870152,869928,868980,866076,861189
서울 성동구,1351519,1357976,1363538,1367371,1368833,1368995,1368362,1367410,1366929,1367605,1367343,1366362,1365448
서울 광진구,1241414,1245636,1249686,1252843,1254029,1254100,1253471,1252771,1252357,1252850,1251629,1250286,1248193
서울 동대문구,869689,876267,879670,881262,882126,882004,881426,880786,880830,881204,879859,877408,872209
서울 중랑구,644734,649806,652286,654594,655869,656223,656400,656097,655840,655669,655286,654286,651275
서울 성북구,826170,832738,840638,846952,848550,847808,845345,843943,842969,841939,840437,836428,830074
서울 강북구,696157,699603,702050,702711,702793,702777,702132,700545,700116,700190,699215,695116,690207
서울 도봉구,676167,681606,685023,687063,687760,687538,687023,686023,685172,684805,684602,680760,674163
서울 노원구,705035,712228,718152,722041,723905,723242,722215,721405,721111,720231,718853,714742,707755
서울 서북권,963766,971238,981723,989903,991224,990735,989181,987830,987322,986630,985148,980850,973320
서울 은평구,805220,812560,820038,826791,827077,826275,824308,823192,822973,822615,821082,816385,809198
서울 서대문구,919218,923718,932420,938879,940270,940121,938408,936632,935920,934552,932753,928891,922057
서울 마포구,1144094,1154232,1168941,1179877,1182064,1181567,1180517,1179320,1178729,1178315,1177153,1172837,1164404
서울 강남지역,1291275,1306537,1319575,1329249,1333947,1334619,1333899,1333648,1334455,1331397,1331181,1330138,1326662
서울 서남권,927408,935507,942268,947148,949342,949799,949318,948624,948332,948313,947816,946584,943690
서울 양천구,1202141,1208153,1212415,1216395,1218141,1218153,1217431,1217298,1217758,1217782,1216758,1215899,1212423
서울 강서구,858741,870094,878239,885173,887913,888983,888476,887454,886393,886216,885101,882980,879922
서울 구로구,671066,677414,683172,688553,691352,691836,691471,690980,690512,690299,689727,688158,685617
서울 금천구,641853,646434,651938,654875,654588,654596,654286,653968,653751,653247,652860,651526,648759
서울 영등포구,1147357,1156448,1163800,1168135,1170000,1170574,1170152,1169109,1168952,1169404,1169435,1168826,1165004
서울 동작구,1074886,1085873,1095958,1103453,1108527,1109109,1108637,1107632,1107612,1108303,1108537,1107891,1106129
서울 관악구,753247,759655,765529,766920,766994,767126,766649,765925,765460,764816,764517,763195,760713
서울 동남권,1764430,1789004,1810205,1826114,1834068,1835017,1833987,1834313,1836549,1829539,1829688,1828891,1824659
서울 서초구,2006381,2035696,2060762,2084527,2094883,2096275,2096253,2097930,2102201,2070784,2073128,2075300,2073652
서울 강남구,2218407,2249256,2275295,2292907,2304003,2305732,2304587,2305295,2309428,2311539,2312319,2311575,2308410
서울 송파구,1625248,1648966,1670424,1684514,1690684,1691359,1689712,1689183,1689046,1688316,1686892,1683774,1675170
서울 강동구,997388,1008121,1017067,1023500,1026442,1026094,1024893,1024241,1024603,1024768,1023576,1022424,1019768
경기 경부1권,885012,897622,908575,913691,915635,915060,914192,912892,912292,911837,911083,909586,903969
경기 과천시,1643766,1650594,1656266,1664891,1672172,1672094,1671281,1667313,1662656,1658625,1655625,1663984,1655859
경기 안양시,697518,711484,725665,726707,727256,725752,724575,722073,720927,720433,719401,718181,712566
경기 안양시 만안구,561500,571232,580415,571361,572918,572836,572005,571158,569419,568987,567993,567408,563027
경기 안양시 동안구,784856,801540,818930,826456,826358,823940,822540,818975,818211,817677,816621,814993,808586
경기 성남시,1122217,1132584,1140365,1146272,1148887,1148973,1148178,1147765,1148156,1148909,1149225,1148426,1143785
경기 성남시 수정구,944718,954443,964523,968156,969359,969221,968687,968183,967305,966347,965557,964466,959389
경기 성남시 중원구,742597,750710,755065,760024,762242,761427,759903,759629,759565,758153,756444,753806,749476
경기 성남시 분당구,1331518,1342967,1351116,1358259,1361571,1362077,1361449,1361021,1362074,1364295,1365789,1365783,1361196
경기 군포시,548843,563190,574855,582855,586101,585581,585093,584609,584839,584964,585343,584685,580867
경기 의왕시,780065,796423,810506,818595,818107,817530,816679,815423,813179,809083,804524,794810,784048
경기 경부2권,607137,616347,624884,629984,632024,631956,631035,629496,627901,625739,623687,621087,616209
경기 안성시,197525,202433,207424,210795,212867,214595,214838,215692,216010,215672,215875,215705,215019
